GRNAME,AccidentYear,lag,DevelopmentYear,GRCODE,DevelopmentLag,cumulative_incurred,cumulative_paid,BulkLoss_D,EarnedPremDIR_D,EarnedPremCeded_D,EarnedPremNet_D,Single,PostedReserve97_D,paid_to_incurred
Allstate Ins Co Grp,1992,7,1998,86,7,184507,164013,9079,257236,4538,252698,0,281872,0.8889256234180817
Allstate Ins Co Grp,1992,8,1999,86,8,184705,166212,7886,257236,4538,252698,0,281872,0.8998781841314528
Allstate Ins Co Grp,1992,9,2000,86,9,183888,167397,6518,257236,4538,252698,0,281872,0.9103204124249543
Allstate Ins Co Grp,1992,10,2001,86,10,181261,168844,4873,257236,4538,252698,0,281872,0.9314965712425729
Allstate Ins Co Grp,1993,1,1993,86,1,114807,19744,57891,202249,1194,201055,0,281872,0.17197557640213576
Allstate Ins Co Grp,1993,2,1994,86,2,114774,47229,39773,202249,1194,201055,0,281872,0.4114956348998902
Allstate Ins Co Grp,1993,3,1995,86,3,101460,61909,16188,202249,1194,201055,0,281872,0.6101813522570471
Allstate Ins Co Grp,1993,4,1996,86,4,98430,85099,5161,202249,1194,201055,0,281872,0.8645636492939145
Allstate Ins Co Grp,1993,5,1997,86,5,96930,87215,3768,202249,1194,201055,0,281872,0.8997730320850098
Allstate Ins Co Grp,1993,6,1998,86,6,96121,88602,3093,202249,1194,201055,0,281872,0.9217756785718001
Allstate Ins Co Grp,1993,7,1999,86,7,98085,89444,5683,202249,1194,201055,0,281872,0.9119029413264006
Allstate Ins Co Grp,1993,8,2000,86,8,93795,89899,1667,202249,1194,201055,0,281872,0.9584626046164507
Allstate Ins Co Grp,1993,9,2001,86,9,93753,90446,1403,202249,1194,201055,0,281872,0.9647264620865466
Allstate Ins Co Grp,1993,10,2002,86,10,95363,90686,2864,202249,1194,201055,0,281872,0.9509558214401812
Allstate Ins Co Grp,1994,1,1994,86,1,107934,20379,47405,176600,2219,174381,0,281872,0.1888098282283618
Allstate Ins Co Grp,1994,2,1995,86,2,107569,46773,22605,176600,2219,174381,0,281872,0.4348185815616023
Allstate Ins Co Grp,1994,3,1996,86,3,97730,88636,1704,176600,2219,174381,0,281872,0.9069477130870767
Allstate Ins Co Grp,1994,4,1997,86,4,96185,91077,537,176600,2219,174381,0,281872,0.9468940063419452
Allstate Ins Co Grp,1994,5,1998,86,5,96124,92583,417,176600,2219,174381,0,281872,0.9631621655361824
Allstate Ins Co Grp,1994,6,1999,86,6,95821,93346,698,176600,2219,174381,0,281872,0.9741705889105728
Allstate Ins Co Grp,1994,7,2000,86,7,95722,93897,634,176600,2219,174381,0,281872,0.9809343724535634
Allstate Ins Co Grp,1994,8,2001,86,8,95496,94165,362,176600,2219,174381,0,281872,0.9860622434447516
Allstate Ins Co Grp,1994,9,2002,86,9,96374,94558,558,176600,2219,174381,0,281872,0.9811567435200366
Allstate Ins Co Grp,1994,10,2003,86,10,95766,94730,128,176600,2219,174381,0,281872,0.9891819643714889
Allstate Ins Co Grp,1995,1,1995,86,1,100686,18756,42787,148185,1819,146366,0,281872,0.18628210476133722
Allstate Ins Co Grp,1995,2,1996,86,2,94456,84712,3054,148185,1819,146366,0,281872,0.8968408571186585
Allstate Ins Co Grp,1995,3,1997,86,3,92314,87311,469,148185,1819,146366,0,281872,0.9458045366899929
Allstate Ins Co Grp,1995,4,1998,86,4,92241,89200,416,148185,1819,146366,0,281872,0.9670320139634219
Allstate Ins Co Grp,1995,5,1999,86,5,92929,90001,484,148185,1819,146366,0,281872,0.968492074594583
Allstate Ins Co Grp,1995,6,2000,86,6,92214,90247,449,148185,1819,146366,0,281872,0.9786691825536252
Allstate Ins Co Grp,1995,7,2001,86,7,92107,90687,254,148185,1819,146366,0,281872,0.9845831478606404
Allstate Ins Co Grp,1995,8,2002,86,8,92362,91068,325,148185,1819,146366,0,281872,0.9859899092700461
Allstate Ins Co Grp,1995,9,2003,86,9,91470,91001,94,148185,1819,146366,0,281872,0.9948726358368865
Allstate Ins Co Grp,1995,10,2004,86,10,93060,91161,1489,148185,1819,146366,0,281872,0.9795938104448743
Allstate Ins Co Grp,1996,1,1996,86,1,53381,42609,5665,95488,2194,93294,0,281872,0.7982053539648939
Allstate Ins Co Grp,1996,2,1997,86,2,51205,44916,1788,95488,2194,93294,0,281872,0.8771799628942486
Allstate Ins Co Grp,1996,3,1998,86,3,51087,46981,1263,95488,2194,93294,0,281872,0.919627302444849
Allstate Ins Co Grp,1996,4,1999,86,4,51015,47899,1117,95488,2194,93294,0,281872,0.9389199255121042
Allstate Ins Co Grp,1996,5,2000,86,5,50226,48583,314,95488,2194,93294,0,281872,0.967287858877872
Allstate Ins Co Grp,1996,6,2001,86,6,50343,49109,152,95488,2194,93294,0,281872,0.9754881512822041
Allstate Ins Co Grp,1996,7,2002,86,7,50060,49442,213,95488,2194,93294,0,281872,0.9876548142229324
Allstate Ins Co Grp,1996,8,2003,86,8,49564,49073,94,95488,2194,93294,0,281872,0.9900936163344363
Allstate Ins Co Grp,1996,9,2004,86,9,49739,49161,283,95488,2194,93294,0,281872,0.9883793401556124
Allstate Ins Co Grp,1996,10,2005,86,10,49459,49255,0,95488,2194,93294,0,281872,0.9958753715198447
Allstate Ins Co Grp,1997,1,1997,86,1,6725,691,3547,8347,696,7651,0,281872,0.10275092936802974
Allstate Ins Co Grp,1997,2,1998,86,2,6663,2085,2511,8347,696,7651,0,281872,0.3129221071589374
Allstate Ins Co Grp,1997,3,1999,86,3,6473,2795,2217,8347,696,7651,0,281872,0.43179360420207014
Allstate Ins Co Grp,1997,4,2000,86,4,2917,2866,17,8347,696,7651,0,281872,0.9825162838532739
Allstate Ins Co Grp,1997,5,2001,86,5,2933,2905,11,8347,696,7651,0,281872,0.9904534606205251
Allstate Ins Co Grp,1997,6,2002,86,6,3103,2909,184,8347,696,7651,0,281872,0.9374798582017403
Allstate Ins Co Grp,1997,7,2003,86,7,3002,2908,94,8347,696,7651,0,281872,0.9686875416389074
Allstate Ins Co Grp,1997,8,2004,86,8,2909,2909,0,8347,696,7651,0,281872,1.0
Allstate Ins Co Grp,1997,9,2005,86,9,2907,2909,0,8347,696,7651,0,281872,1.000687994496044
Allstate Ins Co Grp,1997,10,2006,86,10,2909,2909,0,8347,696,7651,0,281872,1.0
California Cas Grp,1988,1,1988,337,1,62679,9558,24619,104437,4658,99779,0,209415,0.15249126501699134
California Cas Grp,1988,2,1989,337,2,64000,22778,13092,104437,4658,99779,0,209415,0.35590625
California Cas Grp,1988,3,1990,337,3,65607,33298,13020,104437,4658,99779,0,209415,0.5075373054704528
California Cas Grp,1988,4,1991,337,4,65292,40348,11540,104437,4658,99779,0,209415,0.617962384365619
California Cas Grp,1988,5,1992,337,5,62250,45146,9513,104437,4658,99779,0,209415,0.7252369477911647
California Cas Grp,1988,6,1993,337,6,61185,48048,8571,104437,4658,99779,0,209415,0.7852905123804854
California Cas Grp,1988,7,1994,337,7,59387,49782,6815,104437,4658,99779,0,209415,0.8382642665903313
California Cas Grp,1988,8,1995,337,8,57138,50623,4438,104437,4658,99779,0,209415,0.8859778081136896
California Cas Grp,1988,9,1996,337,9,53473,51812,846,104437,4658,99779,0,209415,0.9689375946739476
California Cas Grp,1988,10,1997,337,10,53261,51939,534,104437,4658,99779,0,209415,0.9751788362967274
California Cas Grp,1989,1,1989,337,1,62058,7913,31073,88883,3773,85110,0,209415,0.12750974894453576
California Cas Grp,1989,2,1990,337,2,56660,19472,13461,88883,3773,85110,0,209415,0.34366396046593717
California Cas Grp,1989,3,1991,337,3,56598,29622,8875,88883,3773,85110,0,209415,0.5233753842891975
California Cas Grp,1989,4,1992,337,4,56831,36816,8396,88883,3773,85110,0,209415,0.6478154528338407
California Cas Grp,1989,5,1993,337,5,55294,40975,8354,88883,3773,85110,0,209415,0.7410388107208739
California Cas Grp,1989,6,1994,337,6,53481,43302,6691,88883,3773,85110,0,209415,0.8096707241824199
California Cas Grp,1989,7,1995,337,7,51379,44707,4438,88883,3773,85110,0,209415,0.8701414974989782
California Cas Grp,1989,8,1996,337,8,48446,45871,1128,88883,3773,85110,0,209415,0.9468480369896379
California Cas Grp,1989,9,1997,337,9,48300,46229,801,88883,3773,85110,0,209415,0.9571221532091098
California Cas Grp,1989,10,1998,337,10,48162,46483,411,88883,3773,85110,0,209415,0.9651384909264565
California Cas Grp,1990,1,1990,337,1,63955,8744,32172,85956,3769,82187,0,209415,0.13672113204596983
California Cas Grp,1990,2,1991,337,2,61523,24302,9081,85956,3769,82187,0,209415,0.39500674544479303
California Cas Grp,1990,3,1992,337,3,63166,35406,8075,85956,3769,82187,0,209415,0.5605230662065035
California Cas Grp,1990,4,1993,337,4,61402,43412,7269,85956,3769,82187,0,209415,0.7070128008859646
California Cas Grp,1990,5,1994,337,5,59474,48057,5452,85956,3769,82187,0,209415,0.8080337626525876
California Cas Grp,1990,6,1995,337,6,57613,50897,2536,85956,3769,82187,0,209415,0.8834290871851839
California Cas Grp,1990,7,1996,337,7,57161,52879,1692,85956,3769,82187,0,209415,0.9250887843109813
California Cas Grp,1990,8,1997,337,8,56971,53956,1175,85956,3769,82187,0,209415,0.9470783381018413
California Cas Grp,1990,9,1998,337,9,56634,54440,821,85956,3769,82187,0,209415,0.9612600204823958
California Cas Grp,1990,10,1999,337,10,56368,54857,379,85956,3769,82187,0,209415,0.9731940107862617
California Cas Grp,1991,1,1991,337,1,73918,13301,25129,99339,4342,94997,0,209415,0.17994263914066938
California Cas Grp,1991,2,1992,337,2,75094,32950,9184,99339,4342,94997,0,209415,0.43878339148267503
California Cas Grp,1991,3,1993,337,3,73188,47201,4448,99339,4342,94997,0,209415,0.6449281302945838
California Cas Grp,1991,4,1994,337,4,71199,56394,3345,99339,4342,94997,0,209415,0.7920616862596385
California Cas Grp,1991,5,1995,337,5,71056,61650,2409,99339,4342,94997,0,209415,0.8676255347894618
California Cas Grp,1991,6,1996,337,6,70831,65039,2256,99339,4342,94997,0,209415,0.9182278945659387
California Cas Grp,1991,7,1997,337,7,70532,66566,1388,99339,4342,94997,0,209415,0.9437702035955311
California Cas Grp,1991,8,1998,337,8,70260,67783,821,99339,4342,94997,0,209415,0.9647452319954455
California Cas Grp,1991,9,1999,337,9,70104,68323,434,99339,4342,94997,0,209415,0.9745948875955723
California Cas Grp,1991,10,2000,337,10,71274,68965,1203,99339,4342,94997,0,209415,0.9676038948284087
California Cas Grp,1992,1,1992,337,1,77143,11424,41738,104897,4389,100508,0,209415,0.1480886146507136
California Cas Grp,1992,2,1993,337,2,75133,29086,21264,104897,4389,100508,0,209415,0.387126828424261
California Cas Grp,1992,3,1994,337,3,73284,42034,14869,104897,4389,100508,0,209415,0.5735767698269745
California Cas Grp,1992,4,1995,337,4,73155,50910,12870,104897,4389,100508,0,209415,0.6959196227188845
California Cas Grp,1992,5,1996,337,5,68284,56406,5640,104897,4389,100508,0,209415,0.8260500263604944
California Cas Grp,1992,6,1997,337,6,67845,59437,3738,104897,4389,100508,0,209415,0.8760704547129486
California Cas Grp,1992,7,1998,337,7,67620,61029,3284,104897,4389,100508,0,209415,0.9025288376220053
California Cas Grp,1992,8,1999,337,8,66445,62354,1355,104897,4389,100508,0,209415,0.9384302806832718
California Cas Grp,1992,9,2000,337,9,67382,63037,2406,104897,4389,100508,0,209415,0.9355169036241132
California Cas Grp,1992,10,2001,337,10,67515,63406,2838,104897,4389,100508,0,209415,0.9391394504924832
California Cas Grp,1993,1,1993,337,1,79925,11792,51023,119427,5075,114352,0,209415,0.14753831717234908
California Cas Grp,1993,2,1994,337,2,78263,27161,32835,119427,5075,114352,0,209415,0.3470477748105746
California Cas Grp,1993,3,1995,337,3,78163,38229,26818,119427,5075,114352,0,209415,0.48909330501644
California Cas Grp,1993,4,1996,337,4,68546,46722,14100,119427,5075,114352,0,209415,0.6816152656610159
California Cas Grp,1993,5,1997,337,5,67697,50742,11748,119427,5075,114352,0,209415,0.7495457701227528
California Cas Grp,1993,6,1998,337,6,65321,53480,7800,119427,5075,114352,0,209415,0.818725983986773
California Cas Grp,1993,7,1999,337,7,64226,55960,5691,119427,5075,114352,0,209415,0.8712982281319092
California Cas Grp,1993,8,2000,337,8,62411,56826,3609,119427,5075,114352,0,209415,0.910512569899537
California Cas Grp,1993,9,2001,337,9,62578,57810,2838,119427,5075,114352,0,209415,0.9238070887532359
California Cas Grp,1993,10,2002,337,10,62122,57917,2043,119427,5075,114352,0,209415,0.9323106145970832
California Cas Grp,1994,1,1994,337,1,73628,11194,47270,110784,4244,106540,0,209415,0.15203455207258107
California Cas Grp,1994,2,1995,337,2,73554,26893,29747,110784,4244,106540,0,209415,0.36562253582402043
California Cas Grp,1994,3,1996,337,3,70736,38488,19740,110784,4244,106540,0,209415,0.5441076679484279
California Cas Grp,1994,4,1997,337,4,69720,45580,17088,110784,4244,106540,0,209415,0.6537578886976477
California Cas Grp,1994,5,1998,337,5,67578,48836,14368,110784,4244,106540,0,209415,0.722661221107461
California Cas Grp,1994,6,1999,337,6,66760,50559,11707,110784,4244,106540,0,209415,0.7573247453565009
California Cas Grp,1994,7,2000,337,7,60916,52119,5213,110784,4244,106540,0,209415,0.8555880228511392
California Cas Grp,1994,8,2001,337,8,59795,53426,3469,110784,4244,106540,0,209415,0.8934860774312233
California Cas Grp,1994,9,2002,337,9,59806,54666,1858,110784,4244,106540,0,209415,0.9140554459418787
California Cas Grp,1994,10,2003,337,10,59974,55255,1402,110784,4244,106540,0,209415,0.9213159035582086
California Cas Grp,1995,1,1995,337,1,69521,12550,38471,77731,3079,74652,0,209415,0.18052099365659297
California Cas Grp,1995,2,1996,337,2,80281,31604,28200,77731,3079,74652,0,209415,0.39366724380613094
California Cas Grp,1995,3,1997,337,3,79381,44045,21360,77731,3079,74652,0,209415,0.5548556959473929
California Cas Grp,1995,4,1998,337,4,78694,52539,16831,77731,3079,74652,0,209415,0.6676366686151421
California Cas Grp,1995,5,1999,337,5,77901,57122,12466,77731,3079,74652,0,209415,0.7332640145826113
California Cas Grp,1995,6,2000,337,6,73164,60526,5614,77731,3079,74652,0,209415,0.8272647750259691
California Cas Grp,1995,7,2001,337,7,71733,62882,3785,77731,3079,74652,0,209415,0.8766118801667294
California Cas Grp,1995,8,2002,337,8,71656,64470,2043,77731,3079,74652,0,209415,0.8997153064642179
California Cas Grp,1995,9,2003,337,9,71910,65799,1724,77731,3079,74652,0,209415,0.9150187734668336
California Cas Grp,1995,10,2004,337,10,71829,67011,1439,77731,3079,74652,0,209415,0.9329240278995948
California Cas Grp,1996,1,1996,337,1,69720,13194,36378,63646,3402,60244,0,209415,0.18924268502581756
California Cas Grp,1996,2,1997,337,2,73181,31474,22428,63646,3402,60244,0,209415,0.4300843115016193
California Cas Grp,1996,3,1998,337,3,72878,44070,15599,63646,3402,60244,0,209415,0.604709240099893
California Cas Grp,1996,4,1999,337,4,72188,51693,10298,63646,3402,60244,0,209415,0.7160885465728376
California Cas Grp,1996,5,2000,337,5,72063,57120,6015,63646,3402,60244,0,209415,0.7926397735314933
California Cas Grp,1996,6,2001,337,6,72348,60453,4731,63646,3402,60244,0,209415,0.8355863327251617
California Cas Grp,1996,7,2002,337,7,72404,63499,2043,63646,3402,60244,0,209415,0.877009557483012
California Cas Grp,1996,8,2003,337,8,72498,66205,1978,63646,3402,60244,0,209415,0.9131976054511849
California Cas Grp,1996,9,2004,337,9,72402,67423,1702,63646,3402,60244,0,209415,0.9312311814590757
California Cas Grp,1996,10,2005,337,10,72573,68225,1215,63646,3402,60244,0,209415,0.9400879114822317
California Cas Grp,1997,1,1997,337,1,50171,9372,24404,48052,2119,45933,0,209415,0.18680114010085508
California Cas Grp,1997,2,1998,337,2,49770,23735,11494,48052,2119,45933,0,209415,0.47689371107092626
California Cas Grp,1997,3,1999,337,3,50240,34191,3794,48052,2119,45933,0,209415,0.6805533439490445
California Cas Grp,1997,4,2000,337,4,56703,39726,6416,48052,2119,45933,0,209415,0.7005978519655045
California Cas Grp,1997,5,2001,337,5,57924,44685,4731,48052,2119,45933,0,209415,0.7714418893722809
California Cas Grp,1997,6,2002,337,6,59809,48438,2786,48052,2119,45933,0,209415,0.8098781119898343
California Cas Grp,1997,7,2003,337,7,59230,50775,1358,48052,2119,45933,0,209415,0.8572513928752321
California Cas Grp,1997,8,2004,337,8,59232,52694,1017,48052,2119,45933,0,209415,0.8896204754186926
California Cas Grp,1997,9,2005,337,9,59300,54217,781,48052,2119,45933,0,209415,0.914283305227656
California Cas Grp,1997,10,2006,337,10,59939,55377,591,48052,2119,45933,0,209415,0.923889287442233
Celina Mut Grp,1988,1,1988,353,1,4636,1326,1964,10063,2254,7808,0,5820,0.28602243313201037
Celina Mut Grp,1988,2,1989,353,2,5545,3140,998,10063,2254,7808,0,5820,0.5662759242560865
Celina Mut Grp,1988,3,1990,353,3,5782,4422,231,10063,2254,7808,0,5820,0.7647872708405397
Celina Mut Grp,1988,4,1991,353,4,6342,5036,99,10063,2254,7808,0,5820,0.794071270892463
Celina Mut Grp,1988,5,1992,353,5,6552,5629,45,10063,2254,7808,0,5820,0.8591269841269841
Celina Mut Grp,1988,6,1993,353,6,6630,6060,27,10063,2254,7808,0,5820,0.9140271493212669
Celina Mut Grp,1988,7,1994,353,7,6711,6249,36,10063,2254,7808,0,5820,0.9311578006258382
Celina Mut Grp,1988,8,1995,353,8,6720,6325,31,10063,2254,7808,0,5820,0.9412202380952381
Celina Mut Grp,1988,9,1996,353,9,6700,6471,24,10063,2254,7808,0,5820,0.965820895522388
Celina Mut Grp,1988,10,1997,353,10,6619,6489,-1,10063,2254,7808,0,5820,0.980359570932165
Celina Mut Grp,1989,1,1989,353,1,5197,1793,1825,10827,2650,8177,0,5820,0.3450067346546084
Celina Mut Grp,1989,2,1990,353,2,6392,3698,865,10827,2650,8177,0,5820,0.5785356695869838
Celina Mut Grp,1989,3,1991,353,3,7173,5098,773,10827,2650,8177,0,5820,0.7107207583995538
Celina Mut Grp,1989,4,1992,353,4,7518,6093,578,10827,2650,8177,0,5820,0.8104549082202713
Celina Mut Grp,1989,5,1993,353,5,7396,6474,246,10827,2650,8177,0,5820,0.8753380205516496
Celina Mut Grp,1989,6,1994,353,6,7527,6497,313,10827,2650,8177,0,5820,0.8631592932111067
Celina Mut Grp,1989,7,1995,353,7,7321,6601,123,10827,2650,8177,0,5820,0.9016527796749078
Celina Mut Grp,1989,8,1996,353,8,7189,6731,49,10827,2650,8177,0,5820,0.9362915565447211
Celina Mut Grp,1989,9,1997,353,9,7134,6896,29,10827,2650,8177,0,5820,0.9666386319035604
Celina Mut Grp,1989,10,1998,353,10,7088,6939,20,10827,2650,8177,0,5820,0.9789785553047404
Celina Mut Grp,1990,1,1990,353,1,7098,1941,3639,11358,2226,9132,0,5820,0.27345731191885037
Celina Mut Grp,1990,2,1991,353,2,8159,4015,2023,11358,2226,9132,0,5820,0.4920946194386567
Celina Mut Grp,1990,3,1992,353,3,8626,5589,1446,11358,2226,9132,0,5820,0.6479248782749826
Celina Mut Grp,1990,4,1993,353,4,8340,6299,732,11358,2226,9132,0,5820,0.7552757793764988
Celina Mut Grp,1990,5,1994,353,5,8141,6586,664,11358,2226,9132,0,5820,0.808991524382754
Celina Mut Grp,1990,6,1995,353,6,7817,6834,454,11358,2226,9132,0,5820,0.8742484329026481
Celina Mut Grp,1990,7,1996,353,7,7547,7031,239,11358,2226,9132,0,5820,0.9316284616403869
Celina Mut Grp,1990,8,1997,353,8,7417,7075,139,11358,2226,9132,0,5820,0.9538897128218956
Celina Mut Grp,1990,9,1998,353,9,7349,7096,75,11358,2226,9132,0,5820,0.9655735474214179
Celina Mut Grp,1990,10,1999,353,10,7297,7123,25,11358,2226,9132,0,5820,0.9761545840756475
Celina Mut Grp,1991,1,1991,353,1,6419,1477,3698,11202,2243,8959,0,5820,0.2300981461286805
Celina Mut Grp,1991,2,1992,353,2,7440,3742,1911,11202,2243,8959,0,5820,0.5029569892473118
Celina Mut Grp,1991,3,1993,353,3,7165,4798,1311,11202,2243,8959,0,5820,0.6696441032798325
Celina Mut Grp,1991,4,1994,353,4,6684,4986,1015,11202,2243,8959,0,5820,0.7459605026929982
Celina Mut Grp,1991,5,1995,353,5,6189,5091,515,11202,2243,8959,0,5820,0.8225884634028114
Celina Mut Grp,1991,6,1996,353,6,5934,5269,288,11202,2243,8959,0,5820,0.8879339400067409
Celina Mut Grp,1991,7,1997,353,7,5788,5323,178,11202,2243,8959,0,5820,0.9196613683483068
Celina Mut Grp,1991,8,1998,353,8,5748,5366,130,11202,2243,8959,0,5820,0.9335421016005567
Celina Mut Grp,1991,9,1999,353,9,5668,5384,54,11202,2243,8959,0,5820,0.9498941425546931
Celina Mut Grp,1991,10,2000,353,10,5623,5404,10,11202,2243,8959,0,5820,0.9610528187800107
Celina Mut Grp,1992,1,1992,353,1,6572,1329,3630,9826,2186,7640,0,5820,0.20222154595252587
Celina Mut Grp,1992,2,1993,353,2,5713,2593,1535,9826,2186,7640,0,5820,0.4538771223525293
Celina Mut Grp,1992,3,1994,353,3,5328,2832,1165,9826,2186,7640,0,5820,0.5315315315315315
Celina Mut Grp,1992,4,1995,353,4,4550,3222,403,9826,2186,7640,0,5820,0.7081318681318681
Celina Mut Grp,1992,5,1996,353,5,4437,3417,273,9826,2186,7640,0,5820,0.7701149425287356
Celina Mut Grp,1992,6,1997,353,6,4325,3527,178,9826,2186,7640,0,5820,0.8154913294797688
Celina Mut Grp,1992,7,1998,353,7,4326,3608,162,9826,2186,7640,0,5820,0.8340268146093389
Celina Mut Grp,1992,8,1999,353,8,4251,3784,55,9826,2186,7640,0,5820,0.8901434956480828
Celina Mut Grp,1992,9,2000,353,9,4121,3792,45,9826,2186,7640,0,5820,0.9201650084930842
Celina Mut Grp,1992,10,2001,353,10,4112,3834,18,9826,2186,7640,0,5820,0.9323929961089494
Celina Mut Grp,1993,1,1993,353,1,2574,519,1754,5905,1824,4080,0,5820,0.20163170163170163
Celina Mut Grp,1993,2,1994,353,2,2491,927,1143,5905,1824,4080,0,5820,0.37213970293055
Celina Mut Grp,1993,3,1995,353,3,2268,1040,1027,5905,1824,4080,0,5820,0.4585537918871252
Celina Mut Grp,1993,4,1996,353,4,1522,1009,397,5905,1824,4080,0,5820,0.6629434954007885
Celina Mut Grp,1993,5,1997,353,5,1444,1035,312,5905,1824,4080,0,5820,0.7167590027700831
